,0,1,2,3
556,BG,HU,ES,-0.0
557,BG,LT,ES,-0.0
558,BG,NL,ES,-0.0
559,BG,PL,ES,1.0
560,BG,PT,ES,0.0
561,BG,SE,ES,-0.0
562,BG,SI,ES,-0.0
563,BG,SK,ES,-0.0
564,BG,DK,ES,-0.0
565,BG,FR,ES,-0.0
566,BG,GR,ES,-0.0
567,BG,HR,ES,0.0
568,BG,IE,ES,-0.0
569,BG,LU,ES,-0.0
570,BG,NO,ES,-0.0
571,BG,RO,ES,-0.0
572,BG,AT,FL,-0.0
573,BG,BE,FL,-0.0
574,BG,CZ,FL,-0.0
575,BG,DE,FL,-0.0
576,BG,ES,FL,-0.0
577,BG,GB,FL,-0.0
578,BG,HU,FL,-0.0
579,BG,LT,FL,1.0
580,BG,NL,FL,-0.0
581,BG,PL,FL,-0.0
582,BG,PT,FL,-0.0
583,BG,SE,FL,-0.0
584,BG,SI,FL,-0.0
585,BG,SK,FL,-0.0
586,BG,DK,FL,-0.0
587,BG,FR,FL,-0.0
588,BG,GR,FL,-0.0
589,BG,HR,FL,-0.0
590,BG,IE,FL,-0.0
591,BG,LU,FL,-0.0
592,BG,NO,FL,-0.0
593,BG,RO,FL,-0.0
594,BG,AT,LT,-0.0
595,BG,BE,LT,0.0
596,BG,CZ,LT,-0.0
597,BG,DE,LT,-0.0
598,BG,ES,LT,-0.0
599,BG,FL,LT,-0.0
600,BG,GB,LT,-0.0
601,BG,HU,LT,-0.0
602,BG,NL,LT,-0.0
603,BG,PL,LT,-0.0
604,BG,PT,LT,0.0
605,BG,SE,LT,-0.0
606,BG,SI,LT,0.0
607,BG,SK,LT,-0.0
608,BG,DK,LT,0.0
609,BG,FR,LT,0.0
610,BG,GR,LT,0.0
611,BG,HR,LT,0.0
612,BG,IE,LT,-0.0
613,BG,LU,LT,0.0
614,BG,NO,LT,0.0
615,BG,RO,LT,0.0
616,BG,AT,PT,-0.0
617,BG,BE,PT,0.0
618,BG,CZ,PT,-0.0
619,BG,DE,PT,-0.0
620,BG,ES,PT,0.0
621,BG,FL,PT,-0.0
622,BG,GB,PT,-0.0
623,BG,HU,PT,-0.0
624,BG,LT,PT,0.0
625,BG,NL,PT,-0.0
626,BG,PL,PT,1.0
