,0,1,2
450,Ricany -CZ,Ljubljana-SI,-0.0
451,Zlin-CZ,Ljubljana-SI,-0.0
452,Olomouc-CZ,Ljubljana-SI,-0.0
453,Brno-CZ,Zilina- Strecno-SK,-0.0
454,Brno-CZ,Ivanka pri Dunaji-SK,97.0
455,Ostrava-CZ,Zilina- Strecno-SK,-0.0
456,Ostrava-CZ,Ivanka pri Dunaji-SK,-0.0
457,Krupka 1-CZ,Zilina- Strecno-SK,-0.0
458,Krupka 1-CZ,Ivanka pri Dunaji-SK,-0.0
459,Plzen 1-CZ,Zilina- Strecno-SK,-0.0
460,Plzen 1-CZ,Ivanka pri Dunaji-SK,-0.0
461,Hradec Kralove - Brezhrad-CZ,Zilina- Strecno-SK,-0.0
462,Hradec Kralove - Brezhrad-CZ,Ivanka pri Dunaji-SK,-0.0
463,Ricany -CZ,Zilina- Strecno-SK,-0.0
464,Ricany -CZ,Ivanka pri Dunaji-SK,-0.0
465,Zlin-CZ,Zilina- Strecno-SK,-0.0
466,Zlin-CZ,Ivanka pri Dunaji-SK,-0.0
467,Olomouc-CZ,Zilina- Strecno-SK,-0.0
468,Olomouc-CZ,Ivanka pri Dunaji-SK,-0.0
469,Brno-CZ,Brüssel-BE,-0.0
470,Ostrava-CZ,Brüssel-BE,-0.0
471,Krupka 1-CZ,Brüssel-BE,-0.0
472,Plzen 1-CZ,Brüssel-BE,-0.0
473,Hradec Kralove - Brezhrad-CZ,Brüssel-BE,-0.0
474,Ricany -CZ,Brüssel-BE,-0.0
475,Zlin-CZ,Brüssel-BE,-0.0
476,Olomouc-CZ,Brüssel-BE,-0.0
477,Brno-CZ,Bettembourg-LU,-0.0
478,Ostrava-CZ,Bettembourg-LU,-0.0
479,Krupka 1-CZ,Bettembourg-LU,-0.0
480,Plzen 1-CZ,Bettembourg-LU,-0.0
481,Hradec Kralove - Brezhrad-CZ,Bettembourg-LU,-0.0
482,Ricany -CZ,Bettembourg-LU,-0.0
483,Zlin-CZ,Bettembourg-LU,-0.0
484,Olomouc-CZ,Bettembourg-LU,-0.0
485,Brno-CZ,Oslo-NO,-0.0
486,Ostrava-CZ,Oslo-NO,-0.0
487,Krupka 1-CZ,Oslo-NO,-0.0
488,Plzen 1-CZ,Oslo-NO,-0.0
489,Hradec Kralove - Brezhrad-CZ,Oslo-NO,-0.0
490,Ricany -CZ,Oslo-NO,-0.0
491,Zlin-CZ,Oslo-NO,-0.0
492,Olomouc-CZ,Oslo-NO,-0.0
