,0,1,2
363,Brüssel-BE,PZ 44 (Bochum) [im Bau]-DE,-0.0
364,Brüssel-BE,Kolding-DK,1.0
365,Brüssel-BE,Barcelona-ES,-0.0
366,Brüssel-BE,Madrid-ES,0.0
367,Brüssel-BE,Araba (Vitoria)-ES,1.0
368,Brüssel-BE,Lieto (Turku)-FL,-0.0
369,Brüssel-BE,Vantaa (Helsinki)-FL,-0.0
370,Brüssel-BE,Combs la ville-FR,1.0
371,Brüssel-BE,Slough-GB,1.0
372,Brüssel-BE,Ryton Gateway-GB,-0.0
373,Brüssel-BE,Spata-GR,-0.0
374,Brüssel-BE,Zagreb-HR,-0.0
375,Brüssel-BE,Budapest OLK-HU,-0.0
376,Brüssel-BE,Budapest NPKK (OE)-HU,-0.0
377,Brüssel-BE,Portlaoise-IE,-0.0
378,Brüssel-BE,Dublin-IE,-0.0
379,Brüssel-BE,Kaunas-LT,-0.0
380,Brüssel-BE,Suwałki (Ełk)-PL,-0.0
381,Brüssel-BE,Poznań-PL,1.0
382,Brüssel-BE,Zabrze-PL,-0.0
383,Brüssel-BE,Koninko-PL,0.0
384,Brüssel-BE,Wrocław-PL,-0.0
385,Brüssel-BE,Bydgoszcz (Solec Kujawski)-PL,-0.0
386,Brüssel-BE,Lisboa-PT,-0.0
387,Brüssel-BE,Göteborg-SE,-0.0
388,Brüssel-BE,Stockholm - Västberga-SE,-0.0
389,Brüssel-BE,Helsingborg-SE,-0.0
390,Brüssel-BE,Arlöv-SE,-0.0
391,Brüssel-BE,Malmö-SE,-0.0
392,Brüssel-BE,Ljubljana-SI,-0.0
393,Brüssel-BE,Zilina- Strecno-SK,-0.0
394,Brüssel-BE,Ivanka pri Dunaji-SK,-0.0
395,Sofia-BG,Hub Wien I-AT,1.0
396,Sofia-BG,Hub Wien II-AT,-0.0
397,Sofia-BG,Hub Graz-AT,-0.0
398,Sofia-BG,Hagenbrunn-AT,-0.0
399,Sofia-BG,Allhaming-AT,-0.0
400,Sofia-BG,Enns-AT,-0.0
401,Sofia-BG,Wernberg-AT,-0.0
402,Sofia-BG,Wals-AT,-0.0
403,Sofia-BG,Hall in Tirol-AT,-0.0
404,Sofia-BG,Liesing-AT,0.0
405,Sofia-BG,Wundschuh-AT,-0.0
406,Sofia-BG,PZ 67 (Speyer)-DE,0.0
407,Sofia-BG,PZ 50 (Köln)-DE,-0.0
408,Sofia-BG,PZ 04 (Radefeld/Leipzig)-DE,-0.0
409,Sofia-BG,PZ 90 (Feucht/Nürnberg)-DE,-0.0
410,Sofia-BG,PZ 77 (Lahr)-DE,-0.0
411,Sofia-BG,PZ 93 (Regensburg)-DE,-0.0
412,Sofia-BG,PZ 21 (Hamburg)-DE,-0.0
413,Sofia-BG,PZ 46 (Dorsten)-DE,-0.0
414,Sofia-BG,PZ 58 (Hagen)-DE,0.0
415,Sofia-BG,PZ 08 (Neumark)-DE,0.0
416,Sofia-BG,PZ 47 (Krefeld)-DE,-0.0
417,Sofia-BG,PZ 15 (Rüdersdorf)-DE,-0.0
418,Sofia-BG,PZ 24 (Neumünster)-DE,-0.0
