,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
164,DK,SI,,DKSI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,DK,SK,,DKSK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,DK,CY,,DKCY,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,DK,IT,,DKIT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,EE,AT,"LT
DE",EEAT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,EE,BE,"LT
DE",EEBE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,EE,BG,"LT
DE",EEBG,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,EE,CZ,"LT
DE",EECZ,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
172,EE,DE,LT,EEDE,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173,EE,DK,"LT
DE",EEDK,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
174,EE,EE,,EEEE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,EE,ES,"LT
DE",EEES,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
176,EE,FI,DIRECT,EEFI,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,EE,FR,"LT
DE",EEFR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
178,EE,GB,"LT
DE",EEGB,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,EE,GR,"LT
DE",EEGR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180,EE,HR,"LT
DE",EEHR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,EE,HU,"LT
DE",EEHU,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
182,EE,IE,"LT
DE",EEIE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
183,EE,LT,,EELT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,EE,LU,"LT
DE",EELU,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
185,EE,LV,,EELV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,EE,NL,"LT
DE",EENL,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187,EE,NO,,EENO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,EE,PL,"LT
DE",EEPL,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,EE,PT,"LT
DE",EEPT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
190,EE,RO,"LT
DE",EERO,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,EE,SE,FI,EESE,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
192,EE,SI,"LT
DE",EESI,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
