,Unnamed: 0,Ori. ,Dest.,Connect movement,Org. GTW,Dst. GTW,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,index,Frequency,From,To
152,152,DE,AT,Y,Regensburg,Hagenbrunn,X,X,X,X,X,,,2 swap bodies,152,5,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
153,153,DE,AT,Y,Regensburg,Hagenbrunn,X,X,X,X,X,,,2 swap bodies,153,5,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
154,154,DE,AT,Y,Regensburg,Hagenbrunn,X,X,X,X,X,,,2 swap bodies,154,5,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
155,155,DE,AT,Y,Regensburg,Hagenbrunn,X,X,X,X,X,,,2 swap bodies,155,5,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
156,156,DE,AT,Y,Regensburg,Hagenbrunn,X,X,X,X,X,,,2 swap bodies,156,5,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
157,157,DE,AT,Y,Regensburg,Hagenbrunn,,,,,,X,,2 swap bodies,157,1,PZ 93 (Regensburg)-DE,Hagenbrunn-AT
158,158,DE,AT,Y,Regensburg,Wien 2,X,X,X,X,X,,,2 swap bodies,158,5,PZ 93 (Regensburg)-DE,Hub Wien II-AT
159,159,DE,AT,Y,Regensburg,Wien 2,X,X,X,X,X,,,2 swap bodies,159,5,PZ 93 (Regensburg)-DE,Hub Wien II-AT
160,160,DE,AT,Y,Regensburg,Allhaming,X,X,X,X,X,,,2 swap bodies,160,5,PZ 93 (Regensburg)-DE,Allhaming-AT
161,161,DE,AT,Y,Regensburg,Allhaming,X,X,X,X,X,,,2 swap bodies,161,5,PZ 93 (Regensburg)-DE,Allhaming-AT
162,162,DE,AT,Y,Regensburg,Allhaming,X,X,X,X,X,,,2 swap bodies,162,5,PZ 93 (Regensburg)-DE,Allhaming-AT
163,163,DE,AT,Y,Regensburg,Allhaming,X,X,X,X,X,,,2 swap bodies,163,5,PZ 93 (Regensburg)-DE,Allhaming-AT
164,164,DE,AT,Y,Regensburg,Allhaming,X,X,X,X,X,,,2 swap bodies,164,5,PZ 93 (Regensburg)-DE,Allhaming-AT
165,165,DE,AT,Y,Regensburg,Wals,X,X,X,X,X,,,2 swap bodies,165,5,PZ 93 (Regensburg)-DE,Wals-Siezenheim-AT
166,166,DE,AT,Y,Regensburg,Wals,X,X,X,X,X,,,2 swap bodies,166,5,PZ 93 (Regensburg)-DE,Wals-Siezenheim-AT
167,167,DE,AT,Y,Regensburg,Enns,X,X,X,X,X,,,2 swap bodies,167,5,PZ 93 (Regensburg)-DE,Enns-AT
168,168,DE,AT,Y,Regensburg,Enns,X,X,X,X,X,,,2 swap bodies,168,5,PZ 93 (Regensburg)-DE,Enns-AT
169,169,DE,AT,Y,Regensburg,Enns,X,X,X,X,X,,,2 swap bodies,169,5,PZ 93 (Regensburg)-DE,Enns-AT
170,170,DE,AT,Y,Regensburg,Kalsdorf,X,X,X,X,X,,,2 swap bodies,170,5,PZ 93 (Regensburg)-DE,Kalsdorf bei Graz-AT
171,171,DE,AT,Y,Regensburg,Kalsdorf,X,X,X,X,X,,,2 swap bodies,171,5,PZ 93 (Regensburg)-DE,Kalsdorf bei Graz-AT
172,172,DE,AT,Y,Regensburg,Kalsdorf,X,X,X,X,X,,,2 swap bodies,172,5,PZ 93 (Regensburg)-DE,Kalsdorf bei Graz-AT
173,173,DE,AT,Y,Regensburg,Kalsdorf,,,,,,X,,2 swap bodies,173,1,PZ 93 (Regensburg)-DE,Kalsdorf bei Graz-AT
174,174,DE,AT,Y,Regensburg,Wundschuh,X,X,X,X,X,,,2 swap bodies,174,5,PZ 93 (Regensburg)-DE,Wundschuh-AT
175,175,DE,AT,Y,Regensburg,Wundschuh,X,X,X,X,X,,,2 swap bodies,175,5,PZ 93 (Regensburg)-DE,Wundschuh-AT
176,176,DE,AT,Y,Regensburg,Wernberg,X,X,X,X,X,,,2 swap bodies,176,5,PZ 93 (Regensburg)-DE,Wernberg-AT
177,177,DE,AT,Y,Regensburg,Wernberg,X,X,X,X,X,,,2 swap bodies,177,5,PZ 93 (Regensburg)-DE,Wernberg-AT
178,178,DE,AT,Y,Regensburg,Hall,X,X,X,X,X,,,2 swap bodies,178,5,PZ 93 (Regensburg)-DE,Hall in Tirol-AT
179,179,DE,AT,Y,Regensburg,Hall,X,,,X,,,,2 swap bodies,179,2,PZ 93 (Regensburg)-DE,Hall in Tirol-AT
180,180,PL,AT (via CZ),Y,Zabrze,Hagenbrunn,X,X,X,X,X,,,Trailer,180,5,Zabrze-PL,Hagenbrunn-AT
181,181,CZ,AT,Y,Brno,Hagenbrunn,X,X,X,X,X,,,Trailer,181,5,Brno-CZ,Hagenbrunn-AT
182,182,CZ,SK,Y,Brno,Ivanka pri Dunaji,X,X,X,X,X,,,Cargo 50 m3,182,5,Brno-CZ,Ivanka pri Dunaji-SK
183,183,CZ,SK,Y,Hradec Kralove - Brezhrad,Strečno,X,X,X,X,X,,,2 swap bodies,183,5,Hradec Kralove - Brezhrad-CZ,Zilina- Strecno-SK
184,184,CZ,SK,Y,Olomouc,Strečno,X,X,X,X,X,,,2 swap bodies,184,5,Olomouc-CZ,Zilina- Strecno-SK
